Symbol,GICS Sector,environmentScore,socialScore,governanceScore,totalEsg,highestControversy,marketCap,beta
ECL,Materials,8.54,6.05,5.27,19.86,2,72044814336,1.136
ED,Utilities,6.86,10.86,6.08,23.81,3,36293570560,0.348
EFX,Industrials,0.08,16.3,6.78,23.16,3,37629485056,1.583
EG,Financials,1.39,6.67,9.91,17.96,1,16770212864,0.615
EIX,Utilities,10.98,11.42,5.11,27.51,3,33307713536,0.921
EL,Consumer Staples,6.95,11.05,7.48,25.48,2,30537748480,0.997
ELV,Health Care,0.07,6.03,5.29,11.38,2,1.28349E+11,0.832
EMN,Materials,12.84,5.85,6.59,25.27,2,12378979328,1.45
EMR,Industrials,8.77,13.05,6.55,28.36,1,59430801408,1.293
EOG,Energy,20.16,6.67,7.33,34.16,1,70045835264,1.288
EQIX,Real Estate,3.44,5.31,5.13,13.88,1,83225911296,0.7
EQR,Real Estate,2.98,2.87,6.05,11.91,1,30392528896,0.91
EQT,Energy,17.66,10.08,7.95,35.69,1,19929661440,1.062
ES,Utilities,4.67,8.56,5.39,18.62,2,24445104128,0.618
ESS,Real Estate,3.46,2.84,6.13,12.44,1,20950151168,0.895
ETN,Industrials,5.46,6.76,5.72,17.94,1,1.241E+11,1.007
ETR,Utilities,14.04,7.3,5.32,26.67,2,27601307648,0.723
EW,Health Care,2.86,8.08,7.63,18.57,1,40499355648,1.132
EXC,Utilities,7.38,9.05,6.44,22.86,3,40450048000,0.601
EXPD,Industrials,4.15,7.56,4.84,16.56,2,17457532928,0.958
EXPE,Consumer Discretionary,4.27,13.31,10.08,27.65,2,17677033472,1.793
EXR,Real Estate,4.23,3.72,7.26,15.2,1,39176241152,0.871
F,Consumer Discretionary,7.43,6.41,8.51,22.35,3,43330224128,1.635
FAST,Industrials,9.28,8.29,7.1,24.67,2,40423079936,0.996
FCX,Materials,15.26,9.96,6.4,31.61,4,61971775488,1.891
FDS,Financials,4.32,8.75,5.3,18.37,1,17269403648,0.748
FDX,Industrials,5.66,8.42,5.61,19.68,2,72837300224,1.185
FE,Utilities,10.77,8.99,5.79,25.56,3,25536411648,0.489
FFIV,Information Technology,4.14,7.61,5.4,17.15,1,12510163968,1.057
FI,Financials,4.12,8.74,6.77,19.64,2,1.00953E+11,0.933
FIS,Financials,4.09,8.17,5.21,17.48,1,46394933248,1.086
FITB,Financials,1.19,8.15,7.5,16.84,2,28733145088,1.239
FMC,Materials,14.35,8.92,7.46,30.73,1,7908886016,0.855
FRT,Real Estate,2.27,4.34,5.82,12.42,1,9881507840,1.256
FTNT,Information Technology,2.5,10.03,6.37,18.9,1,58393071616,0.998
FTV,Industrials,16.09,13.97,4.7,34.76,1,26181060608,1.161
GD,Industrials,9.37,18.9,6.93,35.19,3,84507975680,0.607
GE,Industrials,14.24,15.41,10.9,40.55,3,1.95534E+11,1.179
GEN,Information Technology,3.35,8.2,5.39,16.94,2,16286790656,1.06
GILD,Health Care,1,14.34,7.62,22.97,2,1.03396E+11,0.196
GIS,Consumer Staples,8.32,8.72,4.09,21.13,2,41540526080,0.091
GL,Financials,1.58,8.28,10.49,20.35,2,9538871296,0.808
GLW,Information Technology,5.53,4.81,6.13,16.48,2,37051850752,1.036
GM,Consumer Discretionary,9.83,11.48,7.19,28.5,4,53408677888,1.439
GOOGL,Communication Services,1.56,11.16,11.51,24.22,4,1.9666E+12,1.039
GPC,Consumer Discretionary,4.67,5.18,3.8,13.66,2,19135287296,0.913
GPN,Financials,3.65,10.68,6.54,20.87,1,28514754560,0.991
GRMN,Consumer Discretionary,4.78,11.63,4.25,20.66,1,33179969536,1.009
GS,Financials,0.88,12.76,11.82,25.45,2,1.53286E+11,1.353
GWW,Industrials,4.54,5.55,5.91,16,2,49508282368,1.159
HAL,Energy,9.79,8.9,6.94,25.63,2,25866889216,1.906
HAS,Consumer Discretionary,0.04,2.88,4.16,7.08,2,9817040896,0.596
HBAN,Financials,1.97,11.19,8.68,21.84,2,21263603712,1.068
HCA,Health Care,3.9,17.72,7.22,28.84,3,1.04115E+11,1.678
HD,Consumer Discretionary,3.32,5.56,3.76,12.64,2,3.8067E+11,1.003
HES,Energy,18.93,7.2,6.98,33.11,2,40304525312,1.164
HIG,Financials,1.81,7.24,7.58,16.63,1,34303150080,0.924
HLT,Consumer Discretionary,6.11,7,4.45,17.56,2,54307586048,1.31
