Symbol,GICS Sector,environmentScore,socialScore,governanceScore,totalEsg,highestControversy,marketCap,beta,avg_return,volatility,momentum_6m,volatility_norm,totalEsg_norm,risk_score,risk_class
CSGP,Real Estate,4.86,9.34,7.71,21.91,1.0,31924740096,0.816,0.0001420500724828158,0.017532767135784062,-0.004507385283237213,0.32270173953585607,0.42886061307113943,0.4220767984930579,Medium
CSX,Industrials,7.04,10.03,4.84,21.91,2.0,66052870144,1.189,0.00032478569528001977,0.012257177521820251,0.10977983773082826,0.1419072125390659,0.42886061307113943,0.31360008229498376,Medium
CTAS,Industrials,3.03,9.17,5.88,18.08,2.0,82610397184,1.312,0.0014688405537443992,0.011680898583273496,0.7931802771302557,0.12215812556744088,0.318102949681897,0.34605369546770576,Medium
CTRA,Energy,20.26,8.34,7.47,36.07,2.0,17010694144,0.199,0.0002504135057470714,0.016587483755650237,0.04825510053478065,0.29030686539006084,0.8383458646616542,0.23884577336937485,Low
CTSH,Information Technology,1.11,7.64,5.91,14.66,2.0,38596894720,1.05,0.0008188412654604298,0.014076373637906496,0.35040799508613474,0.20425108789503604,0.21920185078079818,0.4348699124247023,Medium
CVS,Health Care,0.03,15.76,6.17,21.97,3.0,73428492288,0.528,-0.0009976734381585738,0.017798362853959467,-0.38391992872334313,0.3318037083684577,0.4305957200694043,0.4268439369933129,Medium
CVX,Energy,17.01,9.18,10.42,36.6,3.0,260253302784,1.08,-0.0002971421312127853,0.01351836564424975,-0.14966381816652663,0.18512814645043046,0.8536726431463275,0.1696078306117273,Low
D,Utilities,11.94,8.84,5.62,26.4,2.0,49103040512,0.602,-0.00017208517023437357,0.01508288204238982,-0.11227567981211602,0.23874414444841202,0.5587044534412955,0.31976470529252904,Medium
DAL,Industrials,9.88,14.57,5.8,30.26,2.0,30128158720,1.349,0.000822564822656613,0.01939547309474346,0.302974574768299,0.38653669779204564,0.6703296703296704,0.3637901505433592,Medium
DD,Materials,14.66,7.99,5.94,28.6,3.0,34593636352,1.325,0.0006153990358113937,0.01611941021231909,0.22349693948935132,0.2742659787672132,0.622325043377675,0.31562956990925795,Medium
DE,Industrials,2.67,10.79,6.49,19.95,2.0,108859965440,0.929,-9.977649528445413e-05,0.01604148091017853,-0.09085770943028317,0.2715953405351566,0.3721804511278195,0.41408502386996615,Medium
DFS,Financials,0.13,11.87,10.51,22.5,2.0,34542485504,1.41,0.0010922651040782623,0.021454183833367207,0.4301475386018348,0.45708874248246606,0.4459224985540775,0.49588424606784864,Medium
DG,Consumer Staples,3.5,8.56,5.53,17.59,2.0,18914889728,0.444,-0.0022155686749058723,0.026540920108890347,-0.6637078436681654,0.6314112630319064,0.3039329091960671,0.6572735941407171,High
DGX,Health Care,0.13,13.07,8.0,21.21,3.0,17405513728,0.889,9.237145657972563e-05,0.012173252207180598,0.007703645858179762,0.1390310908780536,0.4086176980913824,0.3199715752902792,Medium
DHI,Consumer Discretionary,8.71,6.66,5.66,21.03,2.0,63652651008,1.728,0.001948974739032475,0.019510230663815326,1.0816055786455707,0.39046944122696586,0.4034123770965877,0.4729167138975444,Medium
DHR,Health Care,1.35,5.16,5.35,11.86,2.0,199352418304,0.861,0.00046381137613750933,0.014936636722967776,0.15827840433409188,0.23373231538566247,0.1382301908617698,0.4849473128866896,Medium
DIS,Communication Services,0.04,8.96,6.71,15.7,2.0,168409972736,1.398,0.0001817105064068413,0.016991410915590227,0.015847993856009147,0.3041494545916948,0.24927703875072293,0.48277885725472774,Medium
DLR,Real Estate,2.8,2.81,7.0,12.61,0.0,53710041088,0.619,0.0011044788346406837,0.01863218300560187,0.4743751620216866,0.3603787361753143,0.15991902834008098,0.5522596303691562,High
DLTR,Consumer Staples,3.29,12.78,4.02,20.08,2.0,15801912320,0.872,-0.0010107695076013795,0.01988728217724189,-0.3976186997522541,0.40339100166126224,0.37593984962406013,0.4916586611471333,Medium
DOV,Industrials,7.98,12.48,5.42,25.88,1.0,25890215936,1.218,0.0008640774967020778,0.013907690899400303,0.3772857680591888,0.19847032817861893,0.5436668594563331,0.3016154531246381,Medium
DPZ,Consumer Discretionary,10.65,12.2,6.34,29.19,2.0,14424346624,0.858,0.0006538617377930528,0.01860805112052687,0.22088603433292864,0.35955173614935937,0.6393869288606131,0.35997627014537037,Medium
DRI,Consumer Discretionary,7.92,15.0,4.55,27.47,2.0,19135490048,1.303,0.00036752849742833127,0.012210655419414015,0.12996560667365936,0.1403128994641502,0.5896471949103528,0.24832886171434904,Low
DTE,Utilities,15.03,10.04,4.73,29.8,2.0,26159034368,0.676,0.00021554062619562182,0.01218948942881215,0.060750008447615654,0.13958754068166385,0.6570271833429728,0.2209416510718092,Low
DUK,Utilities,11.52,10.68,4.81,27.01,2.0,90888200192,0.457,0.00028469340046827766,0.010843748624675003,0.09884281872366772,0.09346898523143232,0.5763447079236553,0.22554350796939726,Low
DVA,Health Care,0.07,14.08,8.42,22.56,2.0,13859445760,0.863,0.0019054623972513084,0.02100313140153416,1.0165687540598698,0.44163116957949405,0.44765760555234235,0.4859156595267595,Medium
DVN,Energy,17.67,8.56,7.53,33.76,2.0,25336051712,2.069,-0.00044343194524980035,0.018987602147145358,-0.22952512728401872,0.37255895493434704,0.7715442452284558,0.3149176748692259,Medium
DXCM,Health Care,5.35,10.62,8.08,24.05,1.0,28086915072,1.183,-0.0006222163083196118,0.03187998738775058,-0.3956245593215166,0.8143811704581054,0.4907460960092539,0.6923302638711617,High
EA,Communication Services,0.13,8.42,4.73,13.29,2.0,38710616064,0.791,0.0005844160173744811,0.012243044438048455,0.2363192471601942,0.141422871568198,0.17958357432041644,0.4130202932127523,Medium
EBAY,Consumer Discretionary,2.74,7.65,7.21,17.6,2.0,31726319616,1.312,0.000950490284735583,0.016695482604000358,0.40213514435664643,0.2940079873749811,0.304222093695778,0.45471595494667744,Medium
ECL,Materials,8.54,6.05,5.27,19.86,2.0,72044814336,1.136,0.0013848952969288586,0.012994625803739912,0.719855859852574,0.1671795750748784,0.3695777906304222,0.3524766287927582,Medium
ED,Utilities,6.86,10.86,6.08,23.81,3.0,36293570560,0.348,0.00020247610395073858,0.011091457520838618,0.06056803772949032,0.10195797243321525,0.4838056680161943,0.26765251625345143,Low
EFX,Industrials,0.08,16.3,6.78,23.16,3.0,37629485056,1.583,0.001215807559861418,0.018203114679590696,0.5487368698699431,0.3456745588744173,0.46500867553499137,0.42140126511065384,Medium
EG,Financials,1.39,6.67,9.91,17.96,1.0,16770212864,0.615,0.0005176609461945838,0.015936107211956835,0.1765552357354262,0.2679841824804307,0.3146327356853673,0.43493741521411156,Medium
EIX,Utilities,10.98,11.42,5.11,27.51,3.0,33307713536,0.921,0.0008122498407931992,0.013102379479717347,0.35392035519651033,0.17087229499929052,0.5908039329091961,0.26620180383589587,Low
EL,Consumer Staples,6.95,11.05,7.48,25.48,2.0,30537748480,0.997,-0.0021112677852858676,0.025274133220026095,-0.6390059377727949,0.5879984593195517,0.5320994794679006,0.5399592838045708,High
ELV,Health Care,0.07,6.03,5.29,11.38,2.0,128348798976,0.832,0.0003477127053458,0.01411835006802828,0.10890083853454849,0.2056896207196504,0.1243493348756507,0.47367403848153,Medium
EMN,Materials,12.84,5.85,6.59,25.27,2.0,12378979328,1.45,0.0006589005646458965,0.0161763736758135,0.2464386481191774,0.2762181174269966,0.5260266049739734,0.3553202284666086,Medium
